timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-06-28 13:44:07.800431,FRC1,197,34,304,22
2019-06-28 13:59:23.621957,FRC1,197,34,352,19
2019-06-28 14:20:14.180009,FRC1,197,34,257,26
2019-06-28 14:35:26.545215,FRC1,203,33,372,18
2019-06-28 14:50:28.691409,FRC1,203,33,335,20
2019-06-28 15:05:30.509133,FRC1,203,33,279,24
2019-06-28 15:20:32.141376,FRC1,203,33,279,24
2019-06-28 15:35:33.900259,FRC1,203,33,291,23
2019-06-28 15:50:35.455604,FRC1,197,34,268,25
2019-06-28 16:05:37.577950,FRC1,197,34,279,24
2019-06-28 16:20:41.225583,FRC1,197,34,291,23
2019-06-28 16:35:48.020471,FRC1,197,34,304,22
2019-06-28 16:50:49.691764,FRC1,203,33,291,23
2019-06-28 17:05:52.175781,FRC1,197,34,304,22
2019-06-28 17:20:55.577441,FRC1,197,34,291,23
2019-06-28 17:35:59.611525,FRC1,197,34,279,24
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:36:20.532177,FRC1,203,33,394,17
2019-07-02 11:51:21.712606,FRC1,203,33,352,19
2019-07-02 12:06:23.478274,FRC1,203,33,394,17
2019-07-02 12:21:26.436187,FRC1,197,34,478,14
2019-07-02 12:36:28.069302,FRC1,203,33,609,11
2019-07-02 12:51:30.054017,FRC1,191,35,558,12
2019-07-02 13:06:32.612170,FRC1,203,33,515,13
2019-07-02 13:21:36.934229,FRC1,197,34,478,14
2019-07-02 13:36:38.543030,FRC1,203,33,446,15
2019-07-02 13:51:40.280267,FRC1,203,33,515,13
2019-07-02 14:06:41.759483,FRC1,197,34,319,21
2019-07-02 14:21:43.085060,FRC1,203,33,515,13
2019-07-02 14:36:44.513018,FRC1,197,34,446,15
2019-07-02 14:51:45.598950,FRC1,197,34,304,22
2019-07-02 15:06:46.713355,FRC1,203,33,279,24
2019-07-02 15:21:48.290828,FRC1,197,34,291,23
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:38:38.405194,FRC1,197,34,372,18
2019-07-02 11:53:42.765399,FRC1,203,33,352,19
2019-07-02 12:08:46.366747,FRC1,203,33,419,16
2019-07-02 12:23:48.347217,FRC1,197,34,446,15
2019-07-02 12:38:49.765279,FRC1,209,32,609,11
2019-07-02 12:53:51.779434,FRC1,203,33,558,12
2019-07-02 13:08:53.739592,FRC1,197,34,478,14
2019-07-02 13:23:57.816740,FRC1,197,34,478,14
2019-07-02 13:38:59.703083,FRC1,197,34,394,17
2019-07-02 13:54:01.182431,FRC1,203,33,478,14
2019-07-02 14:09:02.691032,FRC1,203,33,319,21
2019-07-02 14:24:04.138244,FRC1,203,33,515,13
2019-07-02 14:39:05.540301,FRC1,203,33,419,16
2019-07-02 14:54:08.278840,FRC1,197,34,304,22
2019-07-02 15:09:09.482642,FRC1,203,33,279,24
2019-07-02 15:24:13.955578,FRC1,197,34,291,23
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 12:50:35.986488,FRC1,203,33,558,12
2019-07-02 13:05:37.448998,FRC1,197,34,478,14
2019-07-02 13:20:40.652617,FRC1,197,34,478,14
2019-07-02 13:35:42.146897,FRC1,203,33,446,15
2019-07-02 13:50:46.417654,FRC1,197,34,352,19
2019-07-02 14:05:53.017036,FRC1,197,34,352,19
2019-07-02 14:20:54.638147,FRC1,197,34,319,21
2019-07-02 14:35:56.076456,FRC1,191,35,446,15
2019-07-02 14:50:57.258474,FRC1,197,34,304,22
2019-07-02 15:06:02.733638,FRC1,203,33,279,24
2019-07-02 15:21:04.192661,FRC1,197,34,291,23
2019-07-02 15:36:05.636206,FRC1,197,34,319,21
2019-07-02 15:51:07.278931,FRC1,197,34,304,22
2019-07-02 16:06:08.733760,FRC1,197,34,279,24
2019-07-02 16:21:12.801142,FRC1,203,33,335,20
2019-07-02 16:36:13.999406,FRC1,203,33,419,16
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:49.221459,FRC1,197,34,319,21
2019-07-02 15:45:51.707582,FRC1,203,33,335,20
2019-07-02 16:00:58.242605,FRC1,203,33,291,23
2019-07-02 16:15:59.692893,FRC1,197,34,319,21
2019-07-02 16:31:01.289689,FRC1,203,33,419,16
2019-07-02 16:46:02.683805,FRC1,203,33,304,22
2019-07-02 17:01:03.865456,FRC1,203,33,372,18
2019-07-02 17:16:06.011984,FRC1,197,34,319,21
